/Users/sucharith/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
Starting 48143 URLs -> production_run/output/full_validated.csv, production_run/output/full_unresolved.csv
[progress] 1179/48143 (2.4%) validated=585 unresolved=594 rate=30.7/min eta=91681s
[progress] 1186/48143 (2.5%) validated=588 unresolved=598 rate=30.8/min eta=91571s
[progress] 1191/48143 (2.5%) validated=591 unresolved=600 rate=30.8/min eta=91579s
[progress] 1197/48143 (2.5%) validated=595 unresolved=602 rate=30.8/min eta=91582s
[progress] 1200/48143 (2.5%) validated=598 unresolved=602 rate=30.7/min eta=91611s
[progress] 1206/48143 (2.5%) validated=601 unresolved=605 rate=30.7/min eta=91628s
[progress] 1212/48143 (2.5%) validated=605 unresolved=607 rate=30.8/min eta=91571s
[progress] 1216/48143 (2.5%) validated=606 unresolved=610 rate=30.7/min eta=91670s
[progress] 1223/48143 (2.5%) validated=610 unresolved=613 rate=30.7/min eta=91575s
[progress] 1225/48143 (2.5%) validated=611 unresolved=614 rate=30.7/min eta=91576s
[progress] 1231/48143 (2.6%) validated=612 unresolved=619 rate=30.7/min eta=91574s
[progress] 1236/48143 (2.6%) validated=615 unresolved=621 rate=30.7/min eta=91577s
[progress] 1240/48143 (2.6%) validated=616 unresolved=624 rate=30.7/min eta=91661s
[progress] 1247/48143 (2.6%) validated=616 unresolved=631 rate=30.7/min eta=91573s
[progress] 1250/48143 (2.6%) validated=617 unresolved=633 rate=30.7/min eta=91588s
[progress] 1256/48143 (2.6%) validated=620 unresolved=636 rate=30.7/min eta=91571s
[progress] 1261/48143 (2.6%) validated=622 unresolved=639 rate=30.7/min eta=91583s
[progress] 1267/48143 (2.6%) validated=625 unresolved=642 rate=30.7/min eta=91584s
[progress] 1272/48143 (2.6%) validated=627 unresolved=645 rate=30.7/min eta=91656s
[progress] 1275/48143 (2.6%) validated=628 unresolved=647 rate=30.7/min eta=91567s
[progress] 1281/48143 (2.7%) validated=631 unresolved=650 rate=30.7/min eta=91565s
[progress] 1287/48143 (2.7%) validated=633 unresolved=654 rate=30.7/min eta=91664s
[progress] 1294/48143 (2.7%) validated=635 unresolved=659 rate=30.7/min eta=91563s
[progress] 1300/48143 (2.7%) validated=636 unresolved=664 rate=30.7/min eta=91564s
[progress] 1306/48143 (2.7%) validated=637 unresolved=669 rate=30.7/min eta=91571s
[progress] 1312/48143 (2.7%) validated=638 unresolved=674 rate=30.7/min eta=91556s
[progress] 1317/48143 (2.7%) validated=640 unresolved=677 rate=30.7/min eta=91556s
[progress] 1322/48143 (2.7%) validated=642 unresolved=680 rate=30.7/min eta=91564s
[progress] 1325/48143 (2.8%) validated=644 unresolved=681 rate=30.7/min eta=91553s
[progress] 1331/48143 (2.8%) validated=644 unresolved=687 rate=30.7/min eta=91549s
[progress] 1336/48143 (2.8%) validated=647 unresolved=689 rate=30.7/min eta=91551s
[progress] 1342/48143 (2.8%) validated=651 unresolved=691 rate=30.7/min eta=91543s
[progress] 1347/48143 (2.8%) validated=654 unresolved=693 rate=30.7/min eta=91545s
[progress] 1350/48143 (2.8%) validated=655 unresolved=695 rate=30.7/min eta=91565s
[progress] 1356/48143 (2.8%) validated=655 unresolved=701 rate=30.7/min eta=91537s
[progress] 1361/48143 (2.8%) validated=655 unresolved=706 rate=30.6/min eta=91604s
[progress] 1367/48143 (2.8%) validated=658 unresolved=709 rate=30.7/min eta=91562s
[progress] 1373/48143 (2.9%) validated=660 unresolved=713 rate=30.7/min eta=91529s
[progress] 1375/48143 (2.9%) validated=660 unresolved=715 rate=30.7/min eta=91528s
[progress] 1380/48143 (2.9%) validated=662 unresolved=718 rate=30.7/min eta=91526s
[progress] 1386/48143 (2.9%) validated=663 unresolved=723 rate=30.7/min eta=91523s
[progress] 1390/48143 (2.9%) validated=664 unresolved=726 rate=30.6/min eta=91616s
[progress] 1397/48143 (2.9%) validated=668 unresolved=729 rate=30.6/min eta=91519s
[progress] 1400/48143 (2.9%) validated=669 unresolved=731 rate=30.6/min eta=91530s
[progress] 1405/48143 (2.9%) validated=671 unresolved=734 rate=30.6/min eta=91533s
[progress] 1411/48143 (2.9%) validated=672 unresolved=739 rate=30.6/min eta=91521s
[progress] 1417/48143 (2.9%) validated=675 unresolved=742 rate=30.6/min eta=91506s
[progress] 1422/48143 (3.0%) validated=678 unresolved=744 rate=30.6/min eta=91508s
[progress] 1425/48143 (3.0%) validated=680 unresolved=745 rate=30.6/min eta=91503s
[progress] 1431/48143 (3.0%) validated=681 unresolved=750 rate=30.6/min eta=91503s
[progress] 1437/48143 (3.0%) validated=683 unresolved=754 rate=30.6/min eta=91494s
[progress] 1442/48143 (3.0%) validated=684 unresolved=758 rate=30.6/min eta=91491s
[progress] 1447/48143 (3.0%) validated=687 unresolved=760 rate=30.6/min eta=91491s
[progress] 1450/48143 (3.0%) validated=688 unresolved=762 rate=30.6/min eta=91485s
[progress] 1455/48143 (3.0%) validated=690 unresolved=765 rate=30.6/min eta=91484s
[progress] 1460/48143 (3.0%) validated=692 unresolved=768 rate=30.6/min eta=91493s
[progress] 1466/48143 (3.0%) validated=695 unresolved=771 rate=30.6/min eta=91510s
[progress] 1471/48143 (3.1%) validated=696 unresolved=775 rate=30.6/min eta=91544s
[progress] 1475/48143 (3.1%) validated=698 unresolved=777 rate=30.6/min eta=91469s
[progress] 1481/48143 (3.1%) validated=699 unresolved=782 rate=30.6/min eta=91464s
[progress] 1486/48143 (3.1%) validated=701 unresolved=785 rate=30.6/min eta=91461s
[progress] 1491/48143 (3.1%) validated=704 unresolved=787 rate=30.6/min eta=91491s
[progress] 1497/48143 (3.1%) validated=708 unresolved=789 rate=30.6/min eta=91455s
[progress] 1500/48143 (3.1%) validated=710 unresolved=790 rate=30.6/min eta=91451s
[progress] 1505/48143 (3.1%) validated=712 unresolved=793 rate=30.6/min eta=91459s
[progress] 1511/48143 (3.1%) validated=714 unresolved=797 rate=30.6/min eta=91442s
[progress] 1516/48143 (3.1%) validated=717 unresolved=799 rate=30.6/min eta=91440s
[progress] 1522/48143 (3.2%) validated=719 unresolved=803 rate=30.6/min eta=91435s
[progress] 1525/48143 (3.2%) validated=720 unresolved=805 rate=30.6/min eta=91449s
[progress] 1531/48143 (3.2%) validated=723 unresolved=808 rate=30.6/min eta=91427s
[progress] 1537/48143 (3.2%) validated=726 unresolved=811 rate=30.6/min eta=91434s
[progress] 1542/48143 (3.2%) validated=727 unresolved=815 rate=30.6/min eta=91450s
[progress] 1548/48143 (3.2%) validated=730 unresolved=818 rate=30.6/min eta=91414s
